IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
166002899,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,12/31/2015,23:00,CENTRAL,NONE,NORTHPOINT ST / GRANT AV,-122.408899279016,37.8071620563289,"(37.8071620563289, -122.408899279016)",16600289928150
160003685,NON-CRIMINAL,LOST PROPERTY,Thursday,12/31/2015,23:00,NORTHERN,NONE,3100 Block of FILLMORE ST,-122.43575101831,37.7987282178823,"(37.7987282178823, -122.43575101831)",16000368571000
160004047,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,12/31/2015,23:00,BAYVIEW,NONE,JERROLD AV / BARNEVELD AV,-122.402701071833,37.7463358668696,"(37.7463358668696, -122.402701071833)",16000404707021
166005003,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Thursday,12/31/2015,22:59,PARK,NONE,500 Block of DIVISADERO ST,-122.437591748763,37.7745506356497,"(37.7745506356497, -122.437591748763)",16600500306372
151127195,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,12/31/2015,22:57,CENTRAL,"ARREST, BOOKED",COLUMBUS AV / BROADWAY ST,-122.406669739951,37.7978641744394,"(37.7978641744394, -122.406669739951)",15112719565016
166008267,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Thursday,12/31/2015,22:55,SOUTHERN,NONE,100 Block of 3RD ST,-122.400916029025,37.7854574902997,"(37.7854574902997, -122.400916029025)",16600826706372
151127214,WEAPON LAWS,CARRYING A CONCEALED WEAPON,Thursday,12/31/2015,22:54,TARAVAL,"ARREST, BOOKED",400 Block of HEAD ST,-122.464479954204,37.7152272237158,"(37.7152272237158, -122.464479954204)",15112721412015
151127214,OTHER OFFENSES,TRAFFIC VIOLATION,Thursday,12/31/2015,22:54,TARAVAL,"ARREST, BOOKED",400 Block of HEAD ST,-122.464479954204,37.7152272237158,"(37.7152272237158, -122.464479954204)",15112721465015
151127214,WEAPON LAWS,"FIREARM, LOADED, IN VEHICLE, POSSESSION OR USE",Thursday,12/31/2015,22:54,TARAVAL,"ARREST, BOOKED",400 Block of HEAD ST,-122.464479954204,37.7152272237158,"(37.7152272237158, -122.464479954204)",15112721412168
151127236,TRESPASS,TRESPASSING,Thursday,12/31/2015,22:53,SOUTHERN,"ARREST, BOOKED",800 Block of HOWARD ST,-122.403890955445,37.7824014072132,"(37.7824014072132, -122.403890955445)",15112723627195
151127236,WEAPON LAWS,POSS OF PROHIBITED WEAPON,Thursday,12/31/2015,22:53,SOUTHERN,"ARREST, BOOKED",800 Block of HOWARD ST,-122.403890955445,37.7824014072132,"(37.7824014072132, -122.403890955445)",15112723612120
151127236,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Thursday,12/31/2015,22:53,SOUTHERN,"ARREST, BOOKED",800 Block of HOWARD ST,-122.403890955445,37.7824014072132,"(37.7824014072132, -122.403890955445)",15112723619090
